id,trigger,conditions,script,text,options,notes
#RULESET_NAME ThreatIncursion,,,,,,
threatinc_bombardSaturationSel,DialogOptionSelected,"$option == mktBombardSaturation score:1000",ThreatincMarketCMD bombardSaturation,,,"Override: hive siege rules on Threat colonies - entrenched hives pay a multiplied fuel cost, take population damage instead of an instant size loss, and the atrocity warning/penalty list is owner-only; footholds die to one pass; non-Threat targets delegate to vanilla (DialogOptionSelected fires best-scoring rule only)"
threatinc_bombardConfirmSel,DialogOptionSelected,"$option == mktBombardConfirm score:1000",ThreatincMarketCMD bombardConfirm,,,"Override: entrenched-hive saturation confirm (short disruption, decline-meter damage, no size chop), hive-short tactical disruption clamp, and third-party factions stripped from the hostile list; non-Threat delegates to vanilla"
threatinc_bombardTacticalSel,DialogOptionSelected,"$option == mktBombardTactical score:1000",ThreatincMarketCMD bombardTactical,,,"Override: on Threat colonies the tactical menu quotes the hive-short disruption duration actually applied (and uses a matching already-disrupted window); non-Threat delegates to vanilla"
threatinc_bombardMenuSel,DialogOptionSelected,"$option == mktBombard score:1000",ThreatincMarketCMD bombardMenu,,,"Override: on entrenched Threat colonies the bombardment menu appends the underground-hive brief - true (multiplied) saturation cost and the tactical/raid counterplay hint; non-Threat delegates to vanilla"
threatinc_marketPostOpen,MarketPostOpen,"$hasMarket
$faction.id == threat score:1000","$tradeMode = NONE 0
FireBest MarketPostDock","Your $shipOrFleet goes into orbit around $marketName. There is no port authority. No docking clearance is granted or refused - no channel opens at all. Across the world below, the fabrication strata pulse on without pause. To the hive, your fleet is not a visitor; it is material that has not yet been processed.",,"Override: hive worlds conduct no civilian business - trade mode forced to NONE (kills trade, bar, and the smuggler docking flow; MarketPostOpen fires best-scoring rule). Military options remain."
threatinc_marketCommDirSel,DialogOptionSelected,"$option == marketCommDir
$faction.id == threat score:1000",,"You sweep the local comm bands. There is no directory - only a wall of machine signal: interleaved fabrication telemetry, targeting handshakes, and a carrier tone your comm officer refuses to leave audible. Nothing down there wants to talk to you.",,"Override: no comm directory on hive worlds (DialogOptionSelected fires best-scoring rule only)"
threatinc_showDefensesSel,DialogOptionSelected,"$option == marketConsiderHostile score:1000",ThreatincMarketCMD showDefenses,,,"Override: military options menu via our subclass, which appends the Ground operations option on Threat colonies (docs/ground-war.md); non-Threat targets see vanilla behavior"
threatinc_engageSel,DialogOptionSelected,"$option == mktEngage score:1000",ThreatincMarketCMD engage,,,"Override: engage guard - vanilla re-scans for the defender fleet on the click and crashes the game when the scan comes back empty (this.battle is null); ours says there is nothing to engage and re-enters showDefenses"
threatinc_raidGoBackSel,DialogOptionSelected,"$option == mktRaidGoBack score:1000",ThreatincMarketCMD goBackToDefenses,,,"Override: back-navigation re-enters our showDefenses so the Ground operations option survives going back from the raid menu"
threatinc_bombardGoBackSel,DialogOptionSelected,"$option == mktBombardGoBack score:1000",ThreatincMarketCMD goBackToDefenses,,,"Override: back-navigation re-enters our showDefenses so the Ground operations option survives going back from the bombardment menu"
threatinc_groundOpsSel,DialogOptionSelected,$option == threatincGroundOps,ThreatincMarketCMD groundOps,,,"Ground operations menu: front status / landing brief (docs/ground-war.md)"
threatinc_groundDeploySel,DialogOptionSelected,$option == threatincGroundDeploy,ThreatincMarketCMD groundDeploy,,,"Commits all marines and heavy armaments aboard to a new ground front"
threatinc_groundResupplySel,DialogOptionSelected,$option == threatincGroundResupply,ThreatincMarketCMD groundResupply,,,"Transfers all marines and heavy armaments aboard to the deployed front"
threatinc_groundWithdrawSel,DialogOptionSelected,$option == threatincGroundWithdraw,ThreatincMarketCMD groundWithdraw,,,"Withdraws the front; survivors and materiel return to the fleet"
threatinc_groundPushSel,DialogOptionSelected,$option == threatincGroundPush,ThreatincMarketCMD groundPush,,,"Orders the front to assault the next stratum"
threatinc_groundEntrenchSel,DialogOptionSelected,$option == threatincGroundEntrench,ThreatincMarketCMD groundEntrench,,,"Orders the front to break off / stand fast and entrench"
threatinc_groundBackSel,DialogOptionSelected,$option == threatincGroundBack,ThreatincMarketCMD goBackToDefenses,,,"Back from ground operations to the military options menu"
threatincAidOption,PopulateOptions,"$menuState == main
$hasMarket
$market.threatinc_aidRequest",,,30:threatincAidDeliver:Deliver aid for the war effort,"Player aid (docs/player-aid.md): while a request for goods stands here, the station commander takes a hand-over from the player's cargo"
threatincAidDeliverSel,DialogOptionSelected,$option == threatincAidDeliver,ThreatincAidCMD menu,,,"Lists what is asked for and what the player carries; one hand-over option per commodity"
threatincAidHandMarinesSel,DialogOptionSelected,$option == threatincAidHand_marines,ThreatincAidCMD deliver marines,,,
threatincAidHandArmsSel,DialogOptionSelected,$option == threatincAidHand_hand_weapons,ThreatincAidCMD deliver hand_weapons,,,
threatincAidHandFuelSel,DialogOptionSelected,$option == threatincAidHand_fuel,ThreatincAidCMD deliver fuel,,,
threatincAidHandSuppliesSel,DialogOptionSelected,$option == threatincAidHand_supplies,ThreatincAidCMD deliver supplies,,,
threatincAidBackSel,DialogOptionSelected,$option == threatincAidBack,ThreatincAidCMD back,,,"Back to the market's main menu"
threatincOutpostOption,PopulateOptions,"$market.isPlanetConditionMarketOnly
ThreatincOutpostCMD canBuild",,,5:threatincOutpostBuild:Build an outpost,"Outposts (docs/strategy-layer.md): in orbit of any uncolonised world with a player military colony in reach, the player can raise their faction's station over it for outpostCredits"
threatincOutpostStanding,PopulateOptions,"$market.isPlanetConditionMarketOnly
ThreatincOutpostCMD standing",,Your outpost holds the orbit here. The swarm cannot seed this world while the station stands. Dock at the station for its storage.,,"Reminder line when the player's own outpost is already in orbit"
threatincOutpostBuildSel,DialogOptionSelected,$option == threatincOutpostBuild,ThreatincOutpostCMD menu,,,"The brief: station type, price, supporting colony; Confirm disabled when unaffordable"
threatincOutpostConfirmSel,DialogOptionSelected,$option == threatincOutpostConfirm,ThreatincOutpostCMD build,,,"Pays and builds, then returns to the planet's options"
threatincOutpostBackSel,DialogOptionSelected,$option == threatincOutpostBack,ThreatincOutpostCMD back,,,"Back to the planet's options"
